keyword,pc,mobile,total,comp_label,competition,ad_depth
대출금리계산기,11000,32900,43900,높음,0.9,3
자동차검사예약,12500,31400,43900,높음,0.9,10
청년월세지원,10400,33500,43900,중간,0.6,3
한글무료설치,36900,6750,43650,중간,0.6,5
중고차사이트,10700,32800,43500,높음,0.9,10
한일선풍기,6530,36600,43130,중간,0.6,8
곱버스,12000,31100,43100,중간,0.6,1
조명,10900,32100,43000,높음,0.9,10
전기차충전소,5310,37300,42610,높음,0.9,10
노란우산,18800,23600,42400,높음,0.9,10
QQQ주가,4450,37600,42050,중간,0.6,6
TIGER200,10700,31200,41900,높음,0.9,7
네이버페이카드,8820,32700,41520,중간,0.6,7
샤워기헤드,8870,32600,41470,높음,0.9,10
러닝화,8800,32600,41400,높음,0.9,10
운전면허필기시험,5170,36000,41170,높음,0.9,10
매도,8430,32700,41130,높음,0.9,1
청년주택,12500,28600,41100,높음,0.9,10
왼쪽옆구리통증,2350,38400,40750,높음,0.9,10
주민등록등본인터넷발급,34100,6560,40660,낮음,0.3,1
국민내일배움카드,12300,28300,40600,높음,0.9,10
김현준,4870,35700,40570,중간,0.6,1
이력서,22400,18100,40500,높음,0.9,10
신용대출,9620,30800,40420,높음,0.9,10
부가세신고,22400,17900,40300,높음,0.9,10
WINDY,18600,21600,40200,중간,0.6,4
트립트랩,5580,34500,40080,중간,0.6,8
청년일자리도약장려금,16600,23400,40000,낮음,0.3,1
현대자동차서비스센터,5080,34900,39980,높음,0.9,9
한우,5970,33900,39870,높음,0.9,10
백일해예방접종,4110,35500,39610,높음,0.9,10
LTV계산기,13800,25800,39600,중간,0.6,4
이불,10000,29100,39100,중간,0.6,8
2IN1에어컨,5670,33400,39070,중간,0.6,8
재경관리사,14100,24700,38800,높음,0.9,10
빔프로젝터,8970,29800,38770,높음,0.9,10
벽걸이선풍기,8040,30500,38540,중간,0.6,8
산업안전보건법,32400,6070,38470,높음,0.9,10
대법원경매정보,22400,16000,38400,높음,0.9,10
IRP계좌,7910,30300,38210,높음,0.9,10
주택연금,7970,30200,38170,높음,0.9,3
외과,2810,35200,38010,높음,0.9,10
대법원전자소송,32500,5220,37720,높음,0.9,10
포터,7790,29900,37690,높음,0.9,10
증여세세율,5550,31900,37450,높음,0.9,10
희망리턴패키지,17000,20100,37100,높음,0.9,10
실업급여신청방법,11200,25800,37000,중간,0.6,6
전세자금대출,11300,25200,36500,높음,0.9,10
고양이사료,4570,31800,36370,중간,0.6,8
국가건강검진,7450,28800,36250,높음,0.9,10
요양보호사,5740,30400,36140,높음,0.9,10
에어텐트,6680,29400,36080,중간,0.6,8
증여세,9000,27000,36000,높음,0.9,10
방문손잡이,10800,25000,35800,중간,0.6,8
알뜰폰요금제비교,9750,26000,35750,높음,0.9,10
전산회계1급,12400,23200,35600,높음,0.9,10
카시트,5550,30000,35550,높음,0.9,10
다이렉트자동차보험,8540,27000,35540,높음,0.9,10
신용카드,9250,26100,35350,높음,0.9,10
중고차시세,7820,27400,35220,높음,0.9,10
DTI계산기,12100,23100,35200,중간,0.6,8
쿨매트,6960,28200,35160,중간,0.6,8
가다실9,3930,31200,35130,높음,0.9,10
기저귀,7560,27500,35060,높음,0.9,9
퇴직금지급기준,5940,29100,35040,높음,0.9,10
에어매트,6030,29000,35030,중간,0.6,8
부가가치세신고,16300,18700,35000,높음,0.9,10
통풍,5160,29500,34660,높음,0.9,10
정기예금금리비교,7720,26900,34620,중간,0.6,6
저축은행금리비교,6630,27900,34530,높음,0.9,9
근처치과,1800,32700,34500,높음,0.9,10
로지텍키보드,13000,21400,34400,높음,0.9,10
치아보험,4780,29600,34380,높음,0.9,10
아이나비블랙박스,8080,26100,34180,높음,0.9,10
갑상선기능항진증,3310,30800,34110,높음,0.9,10
연금저축,7220,26700,33920,높음,0.9,10
집들이선물추천,4580,29300,33880,높음,0.9,10
공모주,10100,23700,33800,높음,0.9,10
정수기렌탈가격비교,6900,26700,33600,높음,0.9,10
파세코창문형에어컨,6170,27300,33470,높음,0.9,10
LED전등,6990,26400,33390,중간,0.6,8
현관문도어락,3580,29700,33280,중간,0.6,8
캠핑카렌트,4400,28800,33200,높음,0.9,10
스탠드에어컨,6450,26600,33050,중간,0.6,8
미니선풍기,5420,27600,33020,중간,0.6,8
밥솥,8590,24400,32990,중간,0.6,8
청년전세대출,9020,23800,32820,높음,0.9,10
주택청약,9920,22800,32720,높음,0.9,10
태블릿,11500,21100,32600,중간,0.6,8
노무사,6790,25600,32390,높음,0.9,10
알뜰요금제,9000,23300,32300,높음,0.9,10
세면대수전,6100,26200,32300,중간,0.6,8
만도,6900,25400,32300,중간,0.6,7
컴퓨터의자,13600,18500,32100,높음,0.9,10
실비보험,4570,27500,32070,높음,0.9,10
환풍기,8430,23600,32030,중간,0.6,8
벤츠전기차,4990,27000,31990,높음,0.9,10
게이밍노트북,8930,23000,31930,높음,0.9,10
아파트실거래가조회,15800,16100,31900,높음,0.9,10
백일해,5150,26700,31850,중간,0.6,3
날파리퇴치,2930,28800,31730,중간,0.6,8
양도소득세,7080,24600,31680,높음,0.9,10
브라이텍스카시트,3070,28600,31670,높음,0.9,10
