keyword,volume,comp,competition,ad_depth,tier,blog,score
스마트카라음식물처리기,4610,중간,0.6,8,3,T2,175.9
와이드모니터,4480,중간,0.6,8,3,T2,175.3
싸이벡스주니어카시트,4450,중간,0.6,7,3,T2,175.1
캠핑의자추천,4390,중간,0.6,8,3,T2,174.8
침대추천,4380,중간,0.6,8,3,T2,174.8
미마유모차,4330,중간,0.6,3,3,T2,174.6
사무용노트북,4300,중간,0.6,8,3,T2,174.4
가성비태블릿,4290,중간,0.6,8,3,T2,174.4
음식물처리기분쇄,4250,중간,0.6,8,3,T2,174.2
삼성노트북추천,4250,중간,0.6,8,3,T2,174.2
블랙박스메모리카드,4240,중간,0.6,8,3,T2,174.1
반자동커피머신,4200,중간,0.6,8,3,T2,173.9
6인용식기세척기,4190,중간,0.6,8,3,T2,173.9
카시트보호매트,4170,중간,0.6,8,3,T2,173.8
이동식에어컨,267400,중간,0.6,8,2,T1,173.7
미세먼지,266000,중간,0.6,3,2,T1,173.6
도어락추천,4130,중간,0.6,8,3,T2,173.6
블랙박스보조배터리,4130,중간,0.6,8,3,T2,173.6
텐트추천,3980,중간,0.6,8,3,T2,172.8
일체형세탁건조기,3960,중간,0.6,8,3,T2,172.7
분유추천,3950,중간,0.6,8,3,T2,172.6
드립커피머신,3840,중간,0.6,8,3,T2,172.0
유모차라이너,3830,중간,0.6,8,3,T2,172.0
벽걸이에어컨,233800,중간,0.6,8,2,T1,171.8
식기세척기12인용,3770,중간,0.6,8,3,T2,171.7
미국주식,229400,중간,0.6,7,2,T1,171.5
컴퓨터의자추천,3700,중간,0.6,8,3,T2,171.3
블랙박스2채널,3680,중간,0.6,8,3,T2,171.2
가정용음식물처리기,3590,중간,0.6,8,3,T2,170.6
고용노동부실업급여,3540,중간,0.6,1,3,T1,170.4
건조기가격,3480,중간,0.6,8,3,T2,170.0
전기자전거순위,3480,중간,0.6,8,3,T2,170.0
퇴직금세금계산기,3470,중간,0.6,3,3,T1,169.9
커브드모니터,3440,중간,0.6,8,3,T2,169.8
맥시코시카시트,3430,중간,0.6,8,3,T2,169.7
여자등산화,3410,중간,0.6,8,3,T2,169.6
OLED모니터,3410,중간,0.6,8,3,T2,169.6
수전교체,3390,중간,0.6,8,3,T2,169.4
창문형에어컨추천,3360,중간,0.6,8,3,T2,169.3
업무용노트북,3350,중간,0.6,8,3,T2,169.2
QHD모니터,3350,중간,0.6,8,3,T2,169.2
캠핑텐트,3180,중간,0.6,8,3,T2,168.1
신일선풍기,178100,중간,0.6,8,2,T2,168.0
커피머신추천,3150,중간,0.6,8,3,T2,167.9
모바일주민등록증발급,3120,중간,0.6,1,3,T1,167.7
다이치주니어카시트,3080,중간,0.6,7,3,T2,167.5
신생아유모차,3060,중간,0.6,8,3,T2,167.3
초등학생스마트워치,3060,중간,0.6,8,3,T2,167.3
전지분유,2990,중간,0.6,8,3,T2,166.8
음식물처리기점유율1위,2930,중간,0.6,8,3,T2,166.4
모니터24인치,2930,중간,0.6,8,3,T2,166.4
카시트커버,2910,중간,0.6,8,3,T2,166.3
근로장려금신청방법,2890,중간,0.6,8,3,T1,166.1
등산화추천,2860,중간,0.6,8,3,T2,165.9
에어프라이기추천,2850,중간,0.6,8,3,T2,165.8
음식물건조기,2820,중간,0.6,8,3,T2,165.6
블랙박스설치,2820,중간,0.6,8,3,T2,165.6
최저임금,148200,중간,0.6,5,2,T1,165.5
크로스오버모니터,2810,중간,0.6,8,3,T2,165.5
미니노트북,2740,중간,0.6,8,3,T2,165.0
34인치모니터,2730,중간,0.6,8,3,T2,164.9
애견유모차,2700,중간,0.6,8,3,T2,164.7
모바일신분증,136140,중간,0.6,2,2,T1,164.3
차량블랙박스,2650,중간,0.6,8,3,T2,164.3
냉감패드,134200,중간,0.6,8,2,T1,164.1
연말정산환급금조회,2600,중간,0.6,4,3,T1,163.9
모니터32인치,2590,중간,0.6,8,3,T2,163.8
타보유모차,2560,중간,0.6,8,3,T2,163.6
남양분유,2490,중간,0.6,7,3,T2,163.0
MSI모니터,2480,중간,0.6,7,3,T2,162.9
알바급여계산기,2460,중간,0.6,7,3,T1,162.8
설사분유,2460,중간,0.6,7,3,T2,162.8
모니터27인치,2460,중간,0.6,8,3,T2,162.8
블랙박스가성비,2460,중간,0.6,8,3,T2,162.8
파킹통장,121100,중간,0.6,4,2,T1,162.7
골프드라이버추천,2450,중간,0.6,8,3,T2,162.7
삼성스마트모니터,2420,중간,0.6,8,3,T2,162.4
삼성27인치모니터,2400,중간,0.6,8,3,T2,162.3
윈도우태블릿,2390,중간,0.6,8,3,T2,162.2
보조배터리,116600,중간,0.6,8,2,T1,162.1
트레킹화추천,2370,중간,0.6,8,3,T2,162.0
쥬니어카시트,2350,중간,0.6,8,3,T2,161.8
싱크대음식물처리기,2340,중간,0.6,8,3,T2,161.7
가벼운노트북,2340,중간,0.6,8,3,T2,161.7
노트북구매,2340,중간,0.6,8,3,T2,161.7
안마기추천,2330,중간,0.6,8,3,T2,161.6
클래식자전거,2330,중간,0.6,8,3,T2,161.6
게임용모니터,2310,중간,0.6,8,3,T2,161.5
패밀리카추천,2290,중간,0.6,8,3,T2,161.3
LG모니터27인치,2260,중간,0.6,8,3,T2,161.0
삼성모니터27인치,2230,중간,0.6,8,3,T2,160.7
멕시코시카시트,2220,중간,0.6,8,3,T2,160.6
냉풍기,103000,중간,0.6,8,2,T1,160.4
가정용음식물처리기추천,2190,중간,0.6,8,3,T2,160.3
의류건조기,2180,중간,0.6,8,3,T2,160.2
카시트추천,2180,중간,0.6,8,3,T2,160.2
의정부자동차검사소,2180,중간,0.6,5,3,T1,160.2
LG게이밍모니터,2160,중간,0.6,8,3,T2,160.1
